ticker,field,expected,extracted,pct_error,exact_match,close_match
AAPL,total_revenue,416161,416161.0,0.0,True,True
AAPL,net_income,112010,112010.0,0.0,True,True
AAPL,total_assets,359241,359241.0,0.0,True,True
AAPL,net_cash_from_operating_activities,111482,111482.0,0.0,True,True
MSFT,total_revenue,281724,281724.0,0.0,True,True
MSFT,net_income,101832,101832.0,0.0,True,True
MSFT,total_assets,619003,619003.0,0.0,True,True
MSFT,net_cash_from_operating_activities,136162,136162.0,0.0,True,True
AMZN,total_revenue,716924,637959.0,11.01,False,False
AMZN,net_income,77670,59248.0,23.72,False,False
AMZN,total_assets,818042,624894.0,23.61,False,False
AMZN,net_cash_from_operating_activities,139514,115877.0,16.94,False,False
TSLA,total_revenue,94827,94827.0,0.0,True,True
TSLA,net_income,3855,3855.0,0.0,True,True
TSLA,total_assets,137806,137806.0,0.0,True,True
TSLA,net_cash_from_operating_activities,14747,14747.0,0.0,True,True
JNJ,total_revenue,94193,94193.0,0.0,True,True
JNJ,net_income,26804,26804.0,0.0,True,True
JNJ,total_assets,199210,199210.0,0.0,True,True
JNJ,net_cash_from_operating_activities,24530,24530.0,0.0,True,True
JPM,total_revenue,182447,182447.0,0.0,True,True
JPM,net_income,57048,57048.0,0.0,True,True
JPM,total_assets,4424900,4424900.0,0.0,True,True
JPM,net_cash_from_operating_activities,-147782,44468.0,130.09,False,False
XOM,total_revenue,332238,323905.0,2.51,False,True
XOM,net_income,28844,28844.0,0.0,True,True
XOM,total_assets,448980,448980.0,0.0,True,True
XOM,net_cash_from_operating_activities,51970,51970.0,0.0,True,True
PG,total_revenue,84284,84284.0,0.0,True,True
PG,net_income,16065,16065.0,0.0,True,True
PG,total_assets,125231,125231.0,0.0,True,True
PG,net_cash_from_operating_activities,17817,17817.0,0.0,True,True
NVDA,total_revenue,215938,215938.0,0.0,True,True
NVDA,net_income,120067,120067.0,0.0,True,True
NVDA,total_assets,206803,206803.0,0.0,True,True
NVDA,net_cash_from_operating_activities,102718,102718.0,0.0,True,True
META,total_revenue,200966,200966.0,0.0,True,True
META,net_income,60458,60458.0,0.0,True,True
META,total_assets,366021,366021.0,0.0,True,True
META,net_cash_from_operating_activities,115800,115800.0,0.0,True,True
